Cab_Vendor_Name,Cab_Provider_Id,Emp_Id,Company_Name,Car_Type,Date,Start_Location,End_Location,PickUp_Time,Passenger_Count,Distance_from_home_inMiles
Fix San,5lr-9k,Hrh-26,BlogXS,Gas Type,2020-04-06,4290 Everett Trail,3 4th Plaza,7:58 AM,4,27
Otcom,6yy-1L,WSD-78,Chatterbridge,Electric Type,2020-09-14,899 Moland Street,6 Spenser Road,12:50 AM,4,31
Ventosanzap,6bS-09,1sJ-41,Jabbersphere,Gas Type,2021-03-08,31361 Warrior Avenue,0155 Mallory Center,5:01 PM,2,19
Holdlamis,9H2-2n,hns-64,Kimia,Electric Type,2020-10-31,5 Bashford Lane,3 Hansons Place,4:50 AM,1,41
Tresom,06x-7U,fJY-96,Yambee,Electric Type,2021-09-20,37 Miller Center,7573 Fuller Crossing,1:17 AM,4,65
Otcom,95Z-79,gGr-23,Realmix,Gas Type,2021-01-27,9 Elka Place,29658 Golden Leaf Plaza,11:15 PM,4,69
Fintone,0vP-4q,7RU-90,Skaboo,Gas Type,2020-04-09,0404 Scott Lane,02 Leroy Plaza,7:59 PM,1,52
Y-find,3DA-0V,5gP-77,Viva,Gas Type,2020-03-13,69 Dayton Avenue,65 Ridgeway Road,6:41 AM,2,26
Vagram,6em-8F,NsR-83,Bubbletube,Electric Type,2021-06-24,35356 Lindbergh Point,11 Maywood Pass,6:17 PM,3,43
Matsoft,6vq-3K,X7Q-16,Brainsphere,Electric Type,2020-08-26,894 Prairieview Pass,17 Alpine Plaza,11:01 PM,4,16
Duobam,8QH-7e,ghM-78,Tazz,Gas Type,2021-04-22,1 Mallard Drive,8331 Summerview Way,4:58 PM,1,57
Cookley,72t-2S,2eo-81,Linkbridge,Electric Type,2020-03-09,227 Londonderry Park,0 Alpine Lane,7:20 AM,1,11
Viva,9ev-9D,OSj-42,Dabfeed,Electric Type,2020-12-20,95755 Gulseth Hill,78195 Raven Pass,9:02 PM,3,3
Tempsoft,8o2-5Q,Q7l-05,Skibox,Gas Type,2021-03-12,60164 Dahle Street,4 Crest Line Avenue,3:32 PM,5,57
Konklab,8UK-2r,Jy1-69,Shuffledrive,Gas Type,2021-11-15,3260 Westport Circle,5 Sommers Place,9:18 AM,5,7
Greenlam,9Jl-9q,gM5-01,Eazzy,Gas Type,2020-01-25,5884 Grim Point,84721 Nelson Junction,2:55 PM,4,21
Sub-Ex,3Fm-2g,nyf-65,Photofeed,Electric Type,2021-06-26,7 Towne Trail,3 Havey Place,9:23 PM,4,30
Bytecard,0nN-0B,gA2-44,Twitternation,Gas Type,2021-07-07,53120 Holy Cross Court,3 Utah Crossing,4:40 PM,1,30
Otcom,9zU-5v,0rL-68,Podcat,Electric Type,2020-03-30,794 Annamark Crossing,8 Farragut Avenue,3:29 AM,4,5
Zathin,3D8-1L,fjZ-71,Tagtune,Gas Type,2021-08-18,9 Green Ridge Road,10480 2nd Lane,12:27 AM,3,60
Voltsillam,7qp-3c,0gq-95,Voolia,Electric Type,2020-09-22,34355 Ruskin Drive,41 Dunning Avenue,11:41 PM,1,65
Fixflex,2KE-3Y,151-69,Gigaclub,Electric Type,2020-05-19,693 Pond Place,5 Hazelcrest Parkway,8:49 PM,2,68
Tin,0OC-1w,xzw-83,Meevee,Gas Type,2020-05-19,88 Badeau Center,568 Hallows Park,6:35 AM,2,38
Hatity,2NI-0I,ZwY-55,Gigaclub,Electric Type,2020-01-02,74 4th Plaza,051 American Trail,12:11 PM,4,42
Aerified,1sG-6b,R6W-50,Wikivu,Electric Type,2021-02-06,017 Michigan Center,7 Milwaukee Point,5:13 AM,2,15
Pannier,9dr-10,mk3-78,Twinte,Gas Type,2020-07-07,8 Oneill Avenue,99913 Briar Crest Avenue,9:21 PM,4,55
Matsoft,7aJ-8p,fNR-41,Edgeclub,Electric Type,2020-04-14,78117 Dottie Circle,6 Artisan Road,1:08 PM,4,13
Bitchip,89c-1t,nb1-23,Zoozzy,Gas Type,2021-08-30,76 Center Trail,664 Tomscot Street,1:27 PM,2,1
Duobam,7yy-88,ljn-30,Photobug,Electric Type,2020-07-26,9531 Lakeland Terrace,99 Burrows Lane,4:53 PM,4,52
Redhold,48k-9J,52t-84,Ozu,Gas Type,2020-05-10,5 Blue Bill Park Point,6053 Warbler Road,8:56 AM,5,21
Mat Lam Tam,0WH-28,FMY-76,Midel,Electric Type,2020-01-12,98922 Westport Parkway,9 Monica Avenue,7:33 PM,2,64
Home Ing,7VI-2D,1D0-24,Bluezoom,Electric Type,2020-08-18,6935 Hauk Center,76270 Annamark Way,4:16 PM,1,34
Home Ing,7Jz-7E,BpR-90,Youopia,Gas Type,2020-09-26,14 Rigney Junction,97 Debra Road,3:34 PM,2,68
Zontrax,5Jc-3s,ZaF-58,Gigaclub,Gas Type,2020-04-01,03 Union Center,89021 Sutteridge Street,3:30 PM,4,27
Aerified,5Uh-7p,69N-66,Abatz,Gas Type,2021-08-05,67 6th Circle,4 Pankratz Place,2:31 AM,4,20
Rank,5k5-98,mHA-27,Rhyzio,Gas Type,2020-11-05,17511 Comanche Crossing,35 Anderson Alley,1:23 AM,1,29
Zamit,2Im-9b,Au6-46,Yamia,Gas Type,2020-04-28,2 Summer Ridge Crossing,4 Butterfield Junction,7:25 PM,1,50
Otcom,58Q-1K,QNn-25,Kayveo,Electric Type,2021-09-14,3 Dennis Trail,9 Gateway Court,8:42 AM,2,60
Holdlamis,4sR-8P,2pv-90,Buzzbean,Gas Type,2020-12-27,69445 Darwin Hill,8 Esch Parkway,5:33 PM,5,7
Sub-Ex,1bN-6m,KmQ-79,Skipstorm,Electric Type,2021-04-14,26 Glendale Alley,56 American Ash Pass,1:04 AM,3,33
Keylex,7J4-2z,Kmz-46,Buzzbean,Electric Type,2021-08-20,9 Ramsey Trail,41 Independence Crossing,7:30 AM,5,54
Latlux,9Yx-8c,9xY-77,Twitterlist,Gas Type,2020-08-24,740 Prairie Rose Court,94113 Ludington Trail,7:05 AM,2,51
Voyatouch,4pt-6C,gVP-29,Eazzy,Electric Type,2021-12-01,96597 Morningstar Drive,3134 Carioca Lane,2:45 AM,3,28
Stronghold,8s2-8Q,qU7-52,Ooba,Electric Type,2021-08-24,378 Kedzie Center,72002 Mandrake Way,3:54 PM,3,17
Tin,7o3-6l,PPI-05,Jabbersphere,Electric Type,2021-10-05,36 Reinke Alley,27 Del Sol Park,10:09 AM,2,32
Latlux,2jL-5v,VAN-13,Latz,Gas Type,2020-02-20,04868 Tennessee Circle,7 Anthes Crossing,9:45 PM,4,56
Konklab,8xW-9u,uHS-99,Voonyx,Gas Type,2020-10-20,44137 Hovde Parkway,07 Northland Junction,2:39 PM,5,10
Rank,2v2-7B,lBT-18,Divanoodle,Electric Type,2021-01-23,207 Atwood Street,26 Ryan Trail,6:43 PM,1,56
Tres-Zap,8rP-5k,7ry-72,Gigabox,Electric Type,2020-04-18,43723 Vidon Terrace,75 1st Alley,10:42 AM,4,70
Latlux,0mE-4m,Nxw-77,Oyoloo,Gas Type,2020-09-07,91 Erie Avenue,59692 4th Avenue,3:29 AM,5,33
Stronghold,63Z-4b,KNf-87,Flipbug,Gas Type,2021-04-12,1 Vernon Way,871 Weeping Birch Junction,2:38 PM,2,3
Zaam-Dox,2Nt-8u,YjA-52,Eadel,Electric Type,2020-11-09,956 Annamark Parkway,17 Esch Street,4:39 AM,5,64
