Company_Name,Emp_Id,Email_ID,First_Name,Last_Name,Dept_Name
Browsecat,cSl-05,nlongfoot0@fastcompany.com,Nannie,Longfoot,Marketing
Youopia,Kmz-46,ckenright1@wsj.com,Calli,Kenright,Human Resources
Podcat,KIy-42,cclearley2@cmu.edu,Cristy,Clearley,Marketing
Trilia,Uza-51,hclayborn3@mtv.com,Hilde,Clayborn,Training
Zoomcast,CbN-91,leilhermann4@pinterest.com,Loralyn,Eilhermann,Human Resources
Skippad,52t-84,rkane5@geocities.jp,Ramonda,Kane,Human Resources
Thoughtworks,NNF-21,mhall6@4shared.com,Malorie,Hall,Human Resources
Twimbo,7ry-72,lsayce7@earthlink.net,Lynnelle,Sayce,Human Resources
Quamba,lBX-00,kgobat8@gizmodo.com,Kary,Gobat,Services
Dablist,gEI-80,astolli9@blogtalkradio.com,Alida,Stolli,Services
Edgeify,vhz-19,jmelladewa@ftc.gov,Joleen,Melladew,Legal
Mydo,0om-21,anetleyb@whitehouse.gov,Adella,Netley,Human Resources
Kazio,P0v-97,rsilberschatzc@artisteer.com,Renee,Silberschatz,Training
Yodel,41P-97,mcuncliffed@chicagotribune.com,Mirella,Cuncliffe,Engineering
Yombu,bVR-00,ffosbraeye@blogger.com,Frannie,Fosbraey,Research and Development
Zava,9kZ-02,jvanbruggenf@google.co.uk,Jacinthe,Van Bruggen,Business Development
Fanoodle,enS-22,gmalliag@amazon.co.uk,Guinna,Mallia,Accounting
Linkbridge,3Oz-70,iurwenh@elpais.com,Izabel,Urwen,Support
Centimia,4bI-81,slotsi@google.com.au,Sophey,Lots,Research and Development
Oozz,Xou-34,jgerrietj@oakley.com,Jacki,Gerriet,Product Management
Mita,olP-63,claverenzk@bloomberg.com,Cathyleen,Laverenz,Engineering
Mynte,epR-98,bwillougheyl@spotify.com,Bonny,Willoughey,Research and Development
Rhybox,8Up-11,vthorogoodm@blinklist.com,Valencia,Thorogood,Marketing
Bubblemix,0vs-05,mowensn@answers.com,Maggy,Owens,Business Development
Dabjam,oNr-62,lrizzielloo@jugem.jp,Lavinia,Rizziello,Legal
Quatz,MuA-36,odenverp@statcounter.com,Oliy,Denver,Training
Yotz,TMQ-02,amcpartlinq@angelfire.com,Anjanette,McPartlin,Accounting
Zooveo,fNr-79,agrimbler@storify.com,Athena,Grimble,Accounting
Edgeify,Xhn-98,mleveringtons@bbb.org,Marthena,Leverington,Human Resources
Brainbox,dZ7-94,gcaccavellat@epa.gov,Georgine,Caccavella,Engineering
Meevee,ODy-99,dmyrieu@goodreads.com,Darell,Myrie,Services
Vinte,RHP-38,mbehlingv@about.com,Martica,Behling,Marketing
Thoughtbeat,O0t-31,cbrewsterw@arizona.edu,Chrysa,Brewster,Research and Development
Centidel,oW9-61,krossox@walmart.com,Katleen,Rosso,Product Management
Brainlounge,GWd-40,egarriocky@telegraph.co.uk,Emlynne,Garriock,Business Development
Rhyzio,k9O-32,lmilberryz@seattletimes.com,Lorette,Milberry,Legal
Devpulse,gQH-33,rgregolotti10@imdb.com,Rafa,Gregolotti,Legal
Dabfeed,YJm-85,lmacgillreich11@nifty.com,Lanny,MacGillreich,Support
Tagopia,X5H-63,lfidian12@ed.gov,Lesya,Fidian,Human Resources
Thoughtmix,K0y-55,apretor13@slate.com,Ardis,Pretor,Support
Omba,ojO-96,jshorter14@washington.edu,Julianna,Shorter,Research and Development
Yakijo,5UV-05,gharfoot15@naver.com,Glen,Harfoot,Research and Development
Photobug,bnZ-81,cmenico16@tamu.edu,Carissa,Menico,Engineering
Tazz,9xY-77,mplewright17@pinterest.com,Meara,Plewright,Training
Thoughtmix,sXm-00,cantonucci18@mysql.com,Carrie,Antonucci,Engineering
Jabbersphere,Y64-66,gcabel19@google.cn,Giulia,Cabel,Engineering
Shuffledrive,wtN-46,dkorneev1a@ehow.com,Dianna,Korneev,Business Development
